Data;CMIG4,SA;ABEV3,SA;PETR4,SA;USIM5,SA;BBAS3,SA;VALE3,SA;ITUB4,SA;CSMG3,SA;SBSP3,SA;LREN3,SA;CSNA3;BRFS3,SA;OIBR3,SA;B3SA3,SA;BRKM5,SA;RADL3,SA;VLID3,SA;JBSS3,SA;GGBR4,SA;EMBR3,SA;WEGE3,SA;ELET3,SA
01/11/2014;-0,033944954;0,02195122;-0,159685864;-0,078947368;0,071042229;-0,06839996;0,053634697;-0,135364728;-0,005157195;0,030323291;-0,266666667;0,026670818;0,039309186;-0,033944954;0,063982464;0,08626056;0,004274961;0,077828054;-0,017132552;-0,014589454;0,042420145;-0,033762006
01/12/2014;-0,065527066;-0,0280429;-0,218847352;-0,038095238;-0,199663327;-0,059252939;-0,105940729;0,031966815;-0,118196002;0,00026115;-0,066115702;-0,041836581;-0,102770915;-0,065527066;-0,092794241;0,037658616;0,058821722;-0,063811923;-0,121100917;0,033841034;0,000989829;-0,034941708
01/01/2015;-0,06504065;0,085942291;-0,172482552;-0,336633663;-0,13083719;-0,150616111;-0,049136093;-0,332009185;-0,218106996;-0,078071473;-0,256637168;0,014817119;0,061741011;-0,06504065;-0,288571429;0,019723866;-0,075647743;0,017040359;-0,032359081;-0,028641611;0,051803799;-0,115517955
01/02/2015;0,095652174;0,035047935;0,15060241;0,232835821;0,148112246;0,141859154;0,109424336;0,19619365;0,273684286;0,192767466;0,230952381;0,000776685;0,060759529;0,095652174;0,02811245;0,102514507;0,051148525;0,093474427;0,093851133;0,048862679;-0,046764193;0,042885697
01/03/2015;0,103174603;0,009284599;0,011518325;0,203389831;-0,034148357;-0,155764659;-0,032605393;-0,087972499;0,045454425;0,079558536;0,048355899;-0,017538429;-0,064651754;0,103174603;-0,140625;0,004912281;0,082724787;0,144354839;-0,003944773;-0,014056265;0,039901373;0,076634686
01/04/2015;0,118705036;0,025432955;0,351966874;0,201207243;0,161938062;0,262541736;0,091192269;-0,013077468;0,005081875;0,157187604;0,481549815;0,017377615;0,041295328;0,118705036;0,145454545;0,19099162;0,052809999;0,092318534;-0,007920792;-0,042769818;0,008805638;0,26736207
01/05/2015;-0,099678457;-0,022163587;-0,055895865;-0,145728643;-0,145755103;-0,114790331;-0,109003891;-0,116510315;0,042134834;0,019039888;-0,235367372;0,00077632;-0,103705236;-0,099678457;0,029365079;0,043975374;0,022199578;0,009677419;-0,140718563;0,015319191;0,066077724;-0,116438703
01/06/2015;0,041964286;0,024824553;0,02919708;-0,192156863;0,06772212;-0,087780453;-0,003203874;-0,143126159;-0,110512081;0,055583126;-0,154723127;0,019084609;-0,026286184;0,041964286;0,050115652;0,135636057;0,007515596;0,045367476;-0,130081301;-0,008382271;0,111701562;-0,088371552
01/07/2015;-0,103684662;0,025276409;-0,173364854;-0,046116505;-0,091845219;-0,022963367;-0,03308046;-0,129103365;0,058787818;-0,036374875;-0,161849711;0,094244869;0,039455445;-0,103684662;-0,079295154;0,070969337;0,030467151;-0,058068517;-0,213618158;0,010143702;-0,015783247;-0,015306826
01/08/2015;0,030592734;-0,019517156;-0,12392755;-0,24173028;-0,191383183;0,002797929;-0,117354124;-0,204352679;-0,099599262;-0,095231267;-0,195402299;-0,032698009;-0,103440624;0,030592734;0,122009569;-0,083352574;-0,055712388;-0,081765088;-0,108658744;-0,038493724;-0,104757405;-0,139895988
01/09/2015;0,027829314;0,017286537;-0,21218716;0,124161074;-0,147504206;-0,074776786;-0,001503956;0,310523596;0,006993007;-0,066180309;0,12;0,015391241;-0,092102032;0,027829314;0,184790334;-0,01511335;-0,025345767;0,187279081;0,041904762;0,109660574;-0,077612033;0,054215355
01/10/2015;0,028880866;-0,016992791;0,064917127;-0,170149254;0,050657895;0,028950483;-0,001512445;0,044176038;0,056818182;0,005438428;0,107142857;-0,148604598;0,089446501;0,028880866;0,306538752;0,022762148;-0,043050411;-0,151785664;-0,007312614;0,109019647;-0,0679619;-0,04380907
01/11/2015;-0,002631579;-0,023572603;-0,005188067;-0,208633094;0,020037633;-0,228018712;0,04986785;0,257694329;0,130227001;-0,054057413;0,267281106;-0,084192965;-0,073842326;-0,002631579;0,203856648;-0,008502126;-0,018041126;-0,128421053;0,123388582;0,074964601;0,05555706;0,153387046
01/12/2015;-0,042216359;-0,042381923;-0,126466754;-0,295454545;-0,095150455;-0,01063022;-0,052534081;-0,051988287;0,000528541;-0,022858644;-0,272727273;0,006540716;-0,033783784;-0,042216359;0,053394434;-0,10517024;-0,011626798;-0,005636071;-0,237704918;-0,006907862;-0,016446721;-0,005181589
01/01/2016;-0,05785124;0,045378151;-0,27761194;-0,451612903;-0,060379919;-0,254029163;-0,052413897;-0,169676568;0,126254622;0,037432247;-0,1125;-0,129422414;-0,027692364;-0,05785124;-0,131064478;0,169109357;-0,061649044;-0,125506073;-0,225806452;-0,047366709;0,034113043;0,010417155
01/02/2016;0,132553606;-0,054662433;0,061983471;0,058823529;-0,022382671;0,215020576;0,018034283;0,144521901;0,060506614;0,014650915;0,464788732;0,065726768;0,098964419;0,132553606;0,0625;0,109209257;-0,015294653;0,055555556;-0,019444444;0,050069576;-0,146826098;-0,024055526
01/03/2016;0,320998279;0,065759641;0,616731518;101.111.111.111.111;0,460118168;0,282811177;0,228746387;0,269517906;0,060592611;0,155001412;0,371153846;-0,001750992;0,221727664;0,320998279;-0,081960784;0,134101282;-0,235039265;-0,044736842;0,852691218;-0,210264927;0,065196822;0,167253744
01/04/2016;0,119218241;0,03138298;0,231046931;0,38121547;0,118361204;0,299670033;0,053184796;0,149732551;0,100917431;-0,000960377;0,842917251;-0,041122587;-0,092350486;0,119218241;0,048697095;0,054810272;0,165113466;-0,169880624;0,194189602;-0,137526205;0,080424142;0,174962429
01/05/2016;-0,073341094;-0,014440331;-0,214076246;-0,332;-0,255088274;-0,27780603;-0,116212879;0,204700319;-0,030681818;0,006256751;-0,502283105;-0,071748027;-0,01109542;-0,073341094;-0,144602816;0,049055233;-0,177143841;0,10619469;-0,28681178;-0,086047691;-0,052042922;0,026957612
01/06/2016;0,130653266;-0,003139822;0,171641791;0,179640719;0,043108746;0,14416315;0,043024861;0,161696296;0,136381399;0,133494019;0,195718654;-0,011823889;0,050370042;0,130653266;-0,093333286;0,093522688;-0,045138262;0;0,057450628;-0,069148887;-0,045170383;0,604997399
